time,sha1_cert,reason
3/9/17 9:54,1c68db743335417ae984655b326d8ba3bb1e7b16,Quakbot C&C
3/9/17 8:08,48fd38089871b87f2e6b1c4a5793ce67ec5e818e,Quakbot C&C
3/9/17 7:49,144b047fc52f3d2e6628338e5482cde29a1ceb3d,Quakbot C&C
3/9/17 7:42,12dd4c2cc3237ed004098277b00d4332c7cc07f3,Dridex C&C
3/9/17 7:42,8494f0c094c24a1fd2c11226896019b097febccf,Dridex C&C
3/9/17 7:42,af490a3938edf530c770aaa9468c6c59a1b50cc1,Dridex C&C
3/9/17 7:42,035d187bfe97581d229febda2a8a1cb292ed64da,Dridex C&C
3/9/17 7:41,11c02808a85d245ae79c150f57e6aa8bcf43a328,Quakbot C&C
3/9/17 7:40,edf8ab0a1c4c29dee09581fc8785387278227377,Quakbot C&C
3/8/17 12:37,57b7849a53f72b06da11bfac40879b0783aa4ff5,Quakbot C&C
3/8/17 9:46,6b1ee9ad97729ad13858faae6378ae63554da7ff,Quakbot C&C
3/8/17 8:46,62300822fedf082223715f4102ea40ff9011d52a,Quakbot C&C
3/8/17 8:09,4f4988b7db2630641b562790b0fbc9693f4cf7ae,Quakbot C&C
3/8/17 8:03,a14971d2d9bc0cb54e114d3c34e6fe348873613a,Dridex C&C
3/8/17 8:03,e2b04b6f8a4940395b3670ed6956bf3d35b58a11,Dridex C&C
3/8/17 8:03,f6539af4039bea25bfd1b3f67847fec8e85a3e29,Dridex C&C
3/8/17 7:59,f4b17cb0f16ee87daf9d0ff5d81fc7b8f0ec6cc2,Quakbot C&C
3/8/17 7:55,0249b953aa544bb66621393f23c6bc33b18cfc1a,Quakbot C&C
3/8/17 7:42,551c8bcfac6532c750de4fb9faee8e01e34e45d1,Gozi MITM
3/8/17 5:48,e10ba95636c8633b355cabd849e43c309207649b,Gozi MITM
3/8/17 5:46,6b2d37da327000889dc59f776ff7958f5493c35b,Gozi MITM
3/8/17 5:41,5523fe353e30648164071bc8c07fd41c0fd94dce,Gozi MITM
3/7/17 15:56,6d9a2a0e9a93e28f616df8a58e8c6f2804ce8917,Quakbot C&C
3/7/17 15:55,4534bde6bc86c0a868ec74566c4cbe16e7581670,Quakbot C&C
3/7/17 15:31,099fad794660b5ccf6bf89782e0cb543342547f1,TorrentLocker C&C
3/7/17 15:19,d3fe24a0f76a0d21e7a3e41928cab7be18575e53,Quakbot C&C
3/7/17 15:19,bef3d68fb962f1b668e53ad7fac6282e2eb0601c,Quakbot C&C
3/7/17 15:08,b1bc81f0ac315827e3a260d18bd151f448daf710,Quakbot C&C
3/7/17 14:08,ba6bdf70ab42cb7930af1bf3c41810fc51a1caf2,Gozi MITM
3/7/17 14:07,9884210499a103c7a2078944face29f0fcc87cbc,Gozi MITM
3/7/17 14:06,1a2926fefd1b3a504858ed7155cdb560636ecfac,Gozi MITM
3/5/17 15:44,9671579d3f105a8685de1ae4934266a695b7628f,Quakbot C&C
3/5/17 15:34,66050b1389f3e0229940a5c49a510f835a636cf0,Quakbot C&C
3/5/17 15:29,92aa18f04998201d53cca6a4b1ee19068e956ba2,Quakbot C&C
3/5/17 15:29,b88ef6bcd46535e4581890c6544ced2a54e8c954,Quakbot C&C
3/5/17 15:28,95c5f203354b2d79fc26ff27ad4be30a8d77e3b0,Quakbot C&C
3/5/17 15:25,86714f5c1b87678d5020f8de869cd916d289e342,Quakbot C&C
3/4/17 11:34,17e958d3003bc9073246bd49866c355870a60830,Quakbot C&C
3/4/17 11:23,0f6f1aba7efd8c2a4aaa4297af4c061fd1c0d5fd,Quakbot C&C
3/4/17 11:20,0c1fdd7c0086b6350a3968516262a1a959a2ec54,Quakbot C&C
3/4/17 11:18,783591efd623cf4dc9838d308bf5317912756e72,Quakbot C&C
3/3/17 7:12,50ee20fa296b3bfce866ac7ffe15a1ced81fca61,Gozi MITM
3/3/17 6:10,c9243243a6d6045088cdff14cdccdd67a2730366,Gozi MITM
3/3/17 6:09,f08f7249f8b150c45090a7ecc79ce1173bcf5412,Gozi MITM
3/3/17 6:08,cd95b8593749600d0ce2034fce3f995056a9289b,Gozi MITM
3/3/17 6:02,9edd4771cfb2cccf9378cbb8270335036c2afe1c,Gozi MITM
3/2/17 10:24,bf188791f31173df7301caa44833845b9349ef3e,Gozi MITM
3/2/17 10:22,ce4623244a2628477c600b5105fa9918e3335b41,Gozi MITM
3/2/17 10:18,4407b3b3aebfc791083811025861d3a6094dfeac,Gozi MITM
3/2/17 10:15,cc2a6dc9acf43d86a21e8bf41ff895278be3aedc,Quakbot C&C
3/2/17 10:14,bc6ac5d00e9918d6df8a74e80426e0fcc67328c6,Quakbot C&C
3/2/17 9:28,25d0ed698d994ea8d9b9110e300c1e1f9259be12,Quakbot C&C
3/2/17 9:24,6fdf5429fa84c5585ded4fd9a17fd37e95711b4b,Quakbot C&C
3/2/17 9:24,f0af9505c7af2bbfdf1d12aefbb7a7932205715f,Quakbot C&C
3/2/17 8:59,01adb6517fe8bf0ae16f15f81af2437ded2ce344,Quakbot C&C
3/2/17 8:56,d640420a2380270f2b845fe24aa5a7cff6e235ad,TorrentLocker C&C
3/2/17 8:56,12ef34a0472d1d50228bdcbd1089c728f6800d9e,TorrentLocker C&C
3/2/17 7:45,c4394210e9a69ccca12983840cd0d9e23e241a37,Gozi MITM
3/1/17 12:26,a2e2d30e55e3443068e6ebcf807071766864530c,Dridex C&C
3/1/17 12:26,ca31e1cf30441ba122734451f744c967151e523b,Dridex C&C
3/1/17 9:01,51f81c3866685cc2fd3d82c46d7e9d0a8059f06e,Quakbot C&C
3/1/17 7:30,e270466a42c2e88a72c4ba413b57568ef3b8eb92,TorrentLocker C&C
3/1/17 7:28,1c47e75c2431e72d5444f11fc93784e757e15e96,TorrentLocker C&C
3/1/17 6:42,79b9d9b86719aa9c65685175722cfb03587a9568,Gozi MITM
